name,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
Quiet rustic home in the mountains,Mike,28805,Entire home/apt,110,2,84
Serenity Yurt,Simms,28805,Entire home/apt,140,2,278
Quiet Getaway with Charm and Views,Dorothy,28805,Entire home/apt,99,2,322
Spacious townhome close to downtown,Mike And Lauren,28804,Entire home/apt,220,1,365
Town and Mountain Peaceful Retreat,Bart,28804,Entire home/apt,177,2,358
Historic Log Cabin Asheville (18),John And Maria,28804,Entire home/apt,125,1,344
"LG Private Rm, Entrance and Bathrm!",Michael,28804,Private room,49,2,256
Country Living in the City Limits,Michael,28804,Private room,45,2,347
North Asheville Cozy Abode,Eva,28804,Private room,45,1,359
Share My Home Above Asheville,Ron,28804,Private room,200,2,330
Your room is ready in Asheville!,Gordon & Victoria,28804,Private room,65,1,347
A Lovely Room in a Lovely Home ,Susan & Gary,28804,Private room,59,2,337
Cozy Twin Bedroom - near downtown,Claire,28804,Private room,49,1,322
Sweet Sunny Suite w/ Fenced in Yard,Lindsay,28804,Private room,70,2,166
"Downtown, River Arts, W Asheville",Brit,28804,Private room,55,1,313
Magnificent Mountain Top Home,Ron,28804,Private room,200,2,257
"Casita Suzana,  just N. of downtown",Suzanne,28804,Private room,58,2,82
"Private, sunny suite near Downtown",Anders,28804,Private room,45,1,322
Private Rest Haven,Eva,28804,Private room,50,1,361
Spa Retreat Asheville,Robert,28804,Private room,100,2,68
Mountain BR w/Exercise Room & Patio,David,28804,Private room,20,15,363
Bungalow and BBQ,Christine,28804,Private room,68,1,140
It's All About The View,Matthew,28804,Entire home/apt,280,2,236
Modern Tiny House on Wheels,Elena,28804,Entire home/apt,72,2,2
Historic Log Cabin Asheville (9),John And Maria,28804,Entire home/apt,85,1,315
New Home 7 min. from downtown,Courtney,28804,Entire home/apt,70,2,70
Historic Log Cabin Asheville (5),John And Maria,28804,Entire home/apt,85,1,321
Historic Log Cabin Asheville (7),John And Maria,28804,Entire home/apt,85,1,339
Black Bear Lodge - Asheville,John And Maria,28804,Entire home/apt,245,2,309
Historic Log Cabin Asheville (12),John And Maria,28804,Entire home/apt,105,1,343
Your Home Away From Home,Sandra,28804,Entire home/apt,185,2,312
Asheville Lake Retreat - Hot Tub,John And Maria,28804,Entire home/apt,335,3,338
Historic Log Cabin Asheville (20),John And Maria,28804,Entire home/apt,140,1,345
Historic Log Cabin Asheville (1),John And Maria,28804,Entire home/apt,110,1,338
Historic Log Cabin Asheville (2),John And Maria,28804,Entire home/apt,105,1,340
Asheville Home Near Beautiful Lake,Mary,28804,Entire home/apt,175,3,342
View of Downtown and Mt. Pisgah!,Jessica,28804,Entire home/apt,121,2,118
Lodges at Beaver Lake,Kevin,28804,Entire home/apt,150,2,365
Garden Apartment 2 Miles From DT,Rebekah,28804,Entire home/apt,110,2,75
Secluded Setting near downtown,Gene,28804,Entire home/apt,150,2,322
Everything Zen,Mark,28804,Entire home/apt,85,2,10
Bright Sunny Bungalow 5 min D/T AVL,Audrey,28804,Entire home/apt,100,2,311
Relaxing cottage w/mountain views,Mellissa,28804,Entire home/apt,75,2,326
Private 1 BD/BA Cottage -N. Aville,Michael,28804,Entire home/apt,75,2,318
Cozy Apt in N. Avl- Close to all! ,Laura,28804,Entire home/apt,120,2,326
